Feature,Importance
elo_rolling_diff,0.3635817
talent_diff,0.112044945
wind_high,0.046249226
elo_season_diff,0.041295383
temperature,0.04098831
def_success_diff,0.037729837
is_rainy,0.03623678
adj_def_epa_diff,0.03384944
def_explo_diff,0.03244453
adj_def_success_diff,0.032385513
off_success_diff,0.031923167
fpi_diff,0.030636022
adj_off_success_diff,0.030257836
off_explo_diff,0.03016734
def_ppa_diff,0.029761532
adj_off_epa_diff,0.029295493
off_ppa_diff,0.026913218
sp_diff,0.01423978
off_havoc_diff,0.0
def_havoc_diff,0.0
off_ppo_diff,0.0
def_ppo_diff,0.0
home_adv,0.0
